"Latest: Time (s)";"Latest: Potential 1 (V)";"Latest: Potential 2 (V)"
0;4,96616363525;1,97219848633
0,001;4,96616363525;1,97830200195
0,002;4,96311187744;1,97219848633
0,003;4,96921539307;1,97525024414
0,004;4,96616363525;1,97525024414
0,005;4,96921539307;1,97219848633
0,006;4,96921539307;1,96914672852
0,007;4,96616363525;1,96914672852
0,008;4,96616363525;1,98440551758
0,009;4,96616363525;1,98135375977
0,01;4,96616363525;1,98135375977
0,011;4,96921539307;1,98135375977
0,012;4,95700836182;1,97830200195
0,013;4,96311187744;1,98440551758
0,014;4,96921539307;1,98135375977
0,015;4,96921539307;1,96914672852
0,016;4,96616363525;1,97219848633
0,017;4,96921539307;1,98135375977
0,018;4,96921539307;1,97830200195
0,019;4,96311187744;1,97830200195
0,02;4,96921539307;1,98135375977
0,021;4,96921539307;1,98135375977
0,022;4,96921539307;1,98135375977
0,023;4,96616363525;1,96914672852
0,024;4,96921539307;1,97525024414
0,025;4,96921539307;1,97830200195
0,026;4,96616363525;1,97830200195
0,027;4,96311187744;1,98440551758
0,028;4,96921539307;1,98135375977
0,029;4,96921539307;1,97830200195
0,03;4,96311187744;1,98440551758
0,031;4,96921539307;1,97830200195
0,032;4,96921539307;1,97219848633
0,033;4,96616363525;1,97830200195
0,034;4,96616363525;1,98135375977
0,035;4,96921539307;1,98135375977
0,036;4,96921539307;1,97830200195
0,037;4,96006011963;1,98135375977
0,038;4,96006011963;1,98440551758
0,039;4,96921539307;1,98135375977
0,04;4,96921539307;1,96914672852
0,041;4,96616363525;1,97830200195
0,042;4,96921539307;1,98135375977
0,043;4,96616363525;1,97830200195
0,044;4,96616363525;1,98440551758
0,045;4,96006011963;1,98440551758
0,046;4,96616363525;1,97830200195
0,047;4,96616363525;1,98135375977
0,048;4,96921539307;1,97219848633
0,049;4,96921539307;1,97525024414
0,05;4,96921539307;1,98135375977
0,051;4,96616363525;1,98135375977
0,052;4,96616363525;1,97830200195
0,053;4,96921539307;1,97830200195
0,054;4,96616363525;1,97830200195
0,055;4,96311187744;1,98440551758
0,056;4,96921539307;1,97830200195
0,057;4,96616363525;1,97219848633
0,058;4,96921539307;1,97830200195
0,059;4,96921539307;1,98135375977
0,06;4,96311187744;1,98135375977
0,061;4,96921539307;1,98135375977
0,062;4,96311187744;1,98135375977
0,063;4,96006011963;1,98135375977
0,064;4,96616363525;1,97525024414
0,065;4,96921539307;1,97830200195
0,066;4,96921539307;1,97830200195
0,067;4,96616363525;1,98135375977
0,068;4,96311187744;1,98440551758
0,069;4,96921539307;1,98135375977
0,07;4,96311187744;1,97830200195
0,071;4,96311187744;1,97830200195
0,072;4,96921539307;1,98745727539
0,073;4,96921539307;1,9660949707
0,074;4,96616363525;1,96914672852
0,075;4,96921539307;1,98135375977
0,076;4,96921539307;1,98135375977
0,077;4,96311187744;1,97830200195
0,078;4,96616363525;1,98135375977
0,079;4,96921539307;1,98135375977
0,08;4,96616363525;1,97830200195
0,081;4,96616363525;1,96914672852
0,082;4,96616363525;1,97525024414
0,083;4,96921539307;1,97830200195
0,084;4,96921539307;1,98440551758
0,085;4,96311187744;1,98135375977
0,086;4,96921539307;1,98440551758
0,087;4,96921539307;1,97830200195
0,088;4,96006011963;1,98135375977
0,089;4,96921539307;1,98135375977
0,09;4,96921539307;1,97219848633
0,091;4,96616363525;1,97525024414
0,092;4,96921539307;1,98135375977
0,093;4,96921539307;1,97830200195
0,094;4,96616363525;1,98440551758
0,095;4,96006011963;1,98440551758
0,096;4,96921539307;1,98135375977
0,097;4,96921539307;1,98135375977
0,098;4,96616363525;1,9660949707
0,099;4,96921539307;1,97525024414
0,1;4,96921539307;1,97830200195
0,101;4,96616363525;1,98135375977
0,102;4,96616363525;1,98440551758
0,103;4,96616363525;1,98135375977
0,104;4,96921539307;1,97830200195
0,105;4,96616363525;1,98440551758
0,106;4,96921539307;1,96914672852
0,107;4,96921539307;1,96914672852
0,108;4,96616363525;1,97830200195
0,109;4,96616363525;1,98440551758
0,11;4,96921539307;1,97830200195
0,111;4,96921539307;1,97830200195
0,112;4,96006011963;1,97830200195
0,113;4,96311187744;1,98440551758
0,114;4,96616363525;1,98135375977
0,115;4,96921539307;1,97219848633
0,116;4,96921539307;1,97830200195
0,117;4,96921539307;1,98135375977
0,118;4,96616363525;1,98440551758
0,119;4,96616363525;1,98135375977
0,12;4,96311187744;1,98440551758
0,121;4,96616363525;1,97830200195
0,122;4,96616363525;1,98440551758
0,123;4,96921539307;1,97525024414
0,124;4,96921539307;1,97219848633
0,125;4,96616363525;1,97830200195
0,126;4,96616363525;1,98440551758
0,127;4,96921539307;1,98135375977
0,128;4,96921539307;1,97830200195
0,129;4,96616363525;1,98135375977
0,13;4,96616363525;1,98440551758
0,131;4,96921539307;1,96914672852
0,132;4,96616363525;1,96914672852
0,133;4,96616363525;1,97830200195
0,134;4,96921539307;1,98135375977
0,135;4,96921539307;1,97830200195
0,136;4,96616363525;1,98135375977
0,137;4,96006011963;1,98440551758
0,138;4,96311187744;1,97830200195
0,139;4,96616363525;1,97830200195
0,14;4,96616363525;1,97830200195
0,141;4,96921539307;1,97830200195
0,142;4,96921539307;1,97830200195
0,143;4,96311187744;1,98135375977
0,144;4,96921539307;1,98440551758
0,145;4,96311187744;1,97830200195
0,146;4,96616363525;1,98135375977
0,147;4,96616363525;1,98440551758
0,148;4,96921539307;1,97219848633
0,149;4,96921539307;1,96914672852
0,15;4,96616363525;1,97830200195
0,151;4,96921539307;1,98440551758
0,152;4,96921539307;1,97830200195
0,153;4,96921539307;1,97830200195
0,154;4,96616363525;1,98135375977
0,155;4,96311187744;1,98440551758
0,156;4,96616363525;1,97525024414
0,157;4,96616363525;1,97219848633
0,158;4,96616363525;1,98135375977
0,159;4,96921539307;1,97830200195
0,16;4,96616363525;1,98440551758
0,161;4,96921539307;1,98135375977
0,162;4,96616363525;1,98135375977
0,163;4,96311187744;1,98135375977
0,164;4,96616363525;1,97219848633
0,165;4,96616363525;1,97830200195
0,166;4,96921539307;1,97830200195
0,167;4,96921539307;1,97830200195
0,168;4,96311187744;1,98135375977
0,169;4,96921539307;1,98440551758
0,17;4,96006011963;1,97830200195
0,171;4,96006011963;1,97830200195
0,172;4,96616363525;1,98440551758
0,173;4,96921539307;1,96914672852
0,174;4,96921539307;1,96914672852
0,175;4,96616363525;1,97830200195
0,176;4,96616363525;1,98440551758
0,177;4,96616363525;1,98135375977
0,178;4,96616363525;1,97830200195
0,179;4,96616363525;1,98135375977
0,18;4,96616363525;1,98440551758
0,181;4,96921539307;1,96914672852
0,182;4,96616363525;1,96914672852
0,183;4,96616363525;1,98135375977
0,184;4,96921539307;1,98135375977
0,185;4,96616363525;1,97830200195
0,186;4,96616363525;1,98135375977
0,187;4,96921539307;1,98135375977
0,188;4,96006011963;1,98440551758
0,189;4,96616363525;1,97525024414
0,19;4,96921539307;1,97525024414
0,191;4,96921539307;1,97525024414
0,192;4,96616363525;1,97830200195
0,193;4,96311187744;1,98135375977
0,194;4,96921539307;1,98135375977
0,195;4,96006011963;1,97830200195
0,196;4,96311187744;1,98135375977
0,197;4,96921539307;1,98440551758
0,198;4,96616363525;1,97830200195
0,199;4,96616363525;1,96914672852
0,2;4,96921539307;1,97830200195
0,201;4,96921539307;1,98135375977
0,202;4,96616363525;1,98440551758
0,203;4,96006011963;1,98440551758
0,204;4,96921539307;1,98440551758
0,205;4,96921539307;1,98135375977
0,206;4,96616363525;1,96914672852
0,207;4,96921539307;1,97219848633
0,208;4,96921539307;1,97830200195
0,209;4,96616363525;1,97830200195
0,21;4,96311187744;1,98440551758
0,211;4,96921539307;1,97830200195
0,212;4,96006011963;1,97830200195
0,213;4,96006011963;1,97830200195
0,214;4,96921539307;1,98440551758
0,215;4,96921539307;1,97219848633
0,216;4,96616363525;1,97525024414
0,217;4,96616363525;1,98135375977
0,218;4,96921539307;1,98135375977
0,219;4,96921539307;1,97830200195
0,22;4,96006011963;1,98135375977
0,221;4,96006011963;1,98440551758
0,222;4,96921539307;1,98440551758
0,223;4,96616363525;1,97219848633
