X,CH1,
Second,Volt,
-1.27600e-04,1.12e-01,
-1.26600e-04,1.20e-01,
-1.25600e-04,1.20e-01,
-1.24600e-04,1.04e-01,
-1.23600e-04,1.04e-01,
-1.22600e-04,1.12e-01,
-1.21600e-04,1.04e-01,
-1.20600e-04,1.12e-01,
-1.19600e-04,1.12e-01,
-1.18600e-04,9.60e-02,
-1.17600e-04,1.12e-01,
-1.16600e-04,9.60e-02,
-1.15600e-04,1.04e-01,
-1.14600e-04,8.79e-02,
-1.13600e-04,9.60e-02,
-1.12600e-04,8.79e-02,
-1.11600e-04,8.79e-02,
-1.10600e-04,7.99e-02,
-1.09600e-04,7.99e-02,
-1.08600e-04,6.40e-02,
-1.07600e-04,7.99e-02,
-1.06600e-04,6.40e-02,
-1.05600e-04,7.20e-02,
-1.04600e-04,5.60e-02,
-1.03600e-04,6.40e-02,
-1.02600e-04,7.20e-02,
-1.01600e-04,5.60e-02,
-1.00600e-04,7.20e-02,
-9.96000e-05,7.99e-02,
-9.86000e-05,5.60e-02,
-9.76000e-05,5.60e-02,
-9.66000e-05,7.20e-02,
-9.56000e-05,5.60e-02,
-9.46000e-05,7.99e-02,
-9.36000e-05,6.40e-02,
-9.26000e-05,7.99e-02,
-9.16000e-05,7.20e-02,
-9.06000e-05,8.79e-02,
-8.96000e-05,7.99e-02,
-8.86000e-05,1.04e-01,
-8.76000e-05,9.60e-02,
-8.66000e-05,1.20e-01,
-8.56000e-05,1.12e-01,
-8.46000e-05,1.36e-01,
-8.36000e-05,1.28e-01,
-8.26000e-05,1.44e-01,
-8.16000e-05,1.36e-01,
-8.06000e-05,1.60e-01,
-7.96000e-05,1.36e-01,
-7.86000e-05,1.60e-01,
-7.76000e-05,1.52e-01,
-7.66000e-05,1.68e-01,
-7.56000e-05,1.68e-01,
-7.46000e-05,1.52e-01,
-7.36000e-05,1.68e-01,
-7.26000e-05,1.52e-01,
-7.16000e-05,1.68e-01,
-7.06000e-05,1.52e-01,
-6.96000e-05,1.68e-01,
-6.86000e-05,1.52e-01,
-6.76000e-05,1.68e-01,
-6.66000e-05,1.52e-01,
-6.56000e-05,1.68e-01,
-6.46000e-05,1.52e-01,
-6.36000e-05,1.60e-01,
-6.26000e-05,1.44e-01,
-6.16000e-05,1.44e-01,
-6.06000e-05,1.28e-01,
-5.96000e-05,1.36e-01,
-5.86000e-05,1.12e-01,
-5.76000e-05,1.20e-01,
-5.66000e-05,1.04e-01,
-5.56000e-05,1.20e-01,
-5.46000e-05,8.79e-02,
-5.36000e-05,1.04e-01,
-5.26000e-05,8.79e-02,
-5.16000e-05,9.60e-02,
-5.06000e-05,7.99e-02,
-4.96000e-05,8.79e-02,
-4.86000e-05,9.60e-02,
-4.76000e-05,8.79e-02,
-4.66000e-05,1.04e-01,
-4.56000e-05,9.60e-02,
-4.46000e-05,1.12e-01,
-4.36000e-05,9.60e-02,
-4.26000e-05,1.20e-01,
-4.16000e-05,1.12e-01,
-4.06000e-05,1.28e-01,
-3.96000e-05,1.36e-01,
-3.86000e-05,1.20e-01,
-3.76000e-05,1.44e-01,
-3.66000e-05,1.28e-01,
-3.56000e-05,1.36e-01,
-3.46000e-05,1.44e-01,
-3.36000e-05,1.44e-01,
-3.26000e-05,1.36e-01,
-3.16000e-05,1.36e-01,
-3.06000e-05,1.20e-01,
-2.96000e-05,1.12e-01,
-2.86000e-05,1.36e-01,
-2.76000e-05,1.20e-01,
-2.66000e-05,1.04e-01,
-2.56000e-05,1.04e-01,
-2.46000e-05,8.79e-02,
-2.36000e-05,9.60e-02,
-2.26000e-05,7.99e-02,
-2.16000e-05,7.99e-02,
-2.06000e-05,9.60e-02,
-1.96000e-05,7.99e-02,
-1.86000e-05,8.79e-02,
-1.76000e-05,8.79e-02,
-1.66000e-05,7.20e-02,
-1.56000e-05,8.79e-02,
-1.46000e-05,7.99e-02,
-1.36000e-05,7.99e-02,
-1.26000e-05,9.60e-02,
-1.16000e-05,9.60e-02,
-1.06000e-05,7.99e-02,
-9.60000e-06,8.79e-02,
-8.60000e-06,1.12e-01,
-7.60000e-06,1.12e-01,
-6.60000e-06,1.84e-01,
-5.60000e-06,1.84e-01,
-4.60000e-06,3.20e-01,
-3.60000e-06,3.28e-01,
-2.60000e-06,5.04e-01,
-1.60000e-06,5.12e-01,
-6.00000e-07,6.96e-01,
4.00000e-07,6.96e-01,
1.40000e-06,8.32e-01,
2.40000e-06,8.40e-01,
3.40000e-06,8.96e-01,
4.40000e-06,8.96e-01,
5.40000e-06,8.80e-01,
6.40000e-06,8.88e-01,
7.40000e-06,7.84e-01,
8.40000e-06,7.84e-01,
9.40000e-06,6.24e-01,
1.04000e-05,6.16e-01,
1.14000e-05,4.32e-01,
1.24000e-05,4.24e-01,
1.34000e-05,2.16e-01,
1.44000e-05,2.16e-01,
1.54000e-05,1.60e-02,
1.64000e-05,8.00e-03,
1.74000e-05,-1.68e-01,
1.84000e-05,-1.76e-01,
1.94000e-05,-3.04e-01,
2.04000e-05,-3.12e-01,
2.14000e-05,-4.00e-01,
2.24000e-05,-4.00e-01,
2.34000e-05,-4.40e-01,
2.44000e-05,-4.40e-01,
2.54000e-05,-4.56e-01,
2.64000e-05,-4.64e-01,
2.74000e-05,-4.24e-01,
2.84000e-05,-4.32e-01,
2.94000e-05,-3.76e-01,
3.04000e-05,-3.76e-01,
3.14000e-05,-3.12e-01,
3.24000e-05,-3.20e-01,
3.34000e-05,-2.48e-01,
3.44000e-05,-2.40e-01,
3.54000e-05,-1.68e-01,
3.64000e-05,-1.60e-01,
3.74000e-05,-8.79e-02,
3.84000e-05,-7.99e-02,
3.94000e-05,8.00e-03,
4.04000e-05,-1.60e-02,
4.14000e-05,5.60e-02,
4.24000e-05,5.60e-02,
4.34000e-05,1.20e-01,
4.44000e-05,1.20e-01,
4.54000e-05,1.68e-01,
4.64000e-05,1.68e-01,
4.74000e-05,2.00e-01,
4.84000e-05,2.08e-01,
4.94000e-05,2.24e-01,
5.04000e-05,2.32e-01,
5.14000e-05,2.48e-01,
5.24000e-05,2.48e-01,
5.34000e-05,2.56e-01,
5.44000e-05,2.64e-01,
5.54000e-05,2.48e-01,
5.64000e-05,2.64e-01,
5.74000e-05,2.40e-01,
5.84000e-05,2.48e-01,
5.94000e-05,2.64e-01,
6.04000e-05,2.64e-01,
6.14000e-05,2.48e-01,
6.24000e-05,2.48e-01,
6.34000e-05,2.64e-01,
6.44000e-05,2.64e-01,
6.54000e-05,2.56e-01,
6.64000e-05,2.64e-01,
6.74000e-05,2.72e-01,
6.84000e-05,2.64e-01,
6.94000e-05,2.72e-01,
7.04000e-05,2.80e-01,
7.14000e-05,2.64e-01,
7.24000e-05,2.88e-01,
7.34000e-05,2.72e-01,
7.44000e-05,2.96e-01,
7.54000e-05,2.72e-01,
7.64000e-05,2.88e-01,
7.74000e-05,2.72e-01,
7.84000e-05,2.88e-01,
7.94000e-05,2.64e-01,
8.04000e-05,2.72e-01,
8.14000e-05,2.64e-01,
8.24000e-05,2.64e-01,
8.34000e-05,2.56e-01,
8.44000e-05,2.48e-01,
8.54000e-05,2.64e-01,
8.64000e-05,2.56e-01,
8.74000e-05,2.40e-01,
8.84000e-05,2.40e-01,
8.94000e-05,2.56e-01,
9.04000e-05,2.56e-01,
9.14000e-05,2.40e-01,
9.24000e-05,2.56e-01,
9.34000e-05,2.40e-01,
9.44000e-05,2.48e-01,
9.54000e-05,2.32e-01,
9.64000e-05,2.48e-01,
9.74000e-05,2.32e-01,
9.84000e-05,2.40e-01,
9.94000e-05,2.24e-01,
1.00400e-04,2.48e-01,
1.01400e-04,2.24e-01,
1.02400e-04,2.32e-01,
1.03400e-04,2.48e-01,
1.04400e-04,2.40e-01,
1.05400e-04,2.64e-01,
1.06400e-04,2.56e-01,
1.07400e-04,2.64e-01,
1.08400e-04,2.64e-01,
1.09400e-04,2.72e-01,
1.10400e-04,2.64e-01,
1.11400e-04,2.80e-01,
1.12400e-04,2.80e-01,
1.13400e-04,2.64e-01,
1.14400e-04,2.64e-01,
1.15400e-04,2.80e-01,
1.16400e-04,2.88e-01,
1.17400e-04,2.64e-01,
1.18400e-04,2.64e-01,
1.19400e-04,2.80e-01,
1.20400e-04,2.64e-01,
1.21400e-04,2.80e-01,
1.22400e-04,2.80e-01,
1.23400e-04,2.64e-01,
1.24400e-04,2.72e-01,
1.25400e-04,2.88e-01,
1.26400e-04,2.80e-01,
1.27400e-04,2.96e-01,
1.28400e-04,2.96e-01,
1.29400e-04,3.04e-01,
1.30400e-04,3.12e-01,
1.31400e-04,2.96e-01,
1.32400e-04,3.04e-01,
1.33400e-04,2.96e-01,
1.34400e-04,2.96e-01,
1.35400e-04,2.80e-01,
1.36400e-04,2.88e-01,
1.37400e-04,2.64e-01,
1.38400e-04,2.72e-01,
1.39400e-04,2.56e-01,
1.40400e-04,2.64e-01,
1.41400e-04,2.40e-01,
1.42400e-04,2.48e-01,
1.43400e-04,2.24e-01,
1.44400e-04,2.32e-01,
1.45400e-04,2.08e-01,
1.46400e-04,2.16e-01,
1.47400e-04,2.00e-01,
1.48400e-04,2.08e-01,
1.49400e-04,2.00e-01,
1.50400e-04,2.08e-01,
1.51400e-04,1.92e-01,
1.52400e-04,2.00e-01,
1.53400e-04,2.08e-01,
1.54400e-04,2.00e-01,
1.55400e-04,2.16e-01,
1.56400e-04,2.08e-01,
1.57400e-04,2.24e-01,
1.58400e-04,2.16e-01,
1.59400e-04,2.32e-01,
1.60400e-04,2.24e-01,
1.61400e-04,2.40e-01,
1.62400e-04,2.40e-01,
1.63400e-04,2.56e-01,
1.64400e-04,2.48e-01,
1.65400e-04,2.64e-01,
1.66400e-04,2.64e-01,
1.67400e-04,2.80e-01,
1.68400e-04,2.72e-01,
1.69400e-04,2.96e-01,
1.70400e-04,2.88e-01,
1.71400e-04,2.96e-01,
1.72400e-04,2.88e-01,
1.73400e-04,3.04e-01,
1.74400e-04,3.04e-01,
1.75400e-04,2.88e-01,
1.76400e-04,2.96e-01,
1.77400e-04,2.80e-01,
1.78400e-04,2.88e-01,
1.79400e-04,2.64e-01,
1.80400e-04,2.72e-01,
1.81400e-04,2.64e-01,
1.82400e-04,2.64e-01,
1.83400e-04,2.72e-01,
1.84400e-04,2.64e-01,
1.85400e-04,2.64e-01,
1.86400e-04,2.64e-01,
1.87400e-04,2.64e-01,
1.88400e-04,2.64e-01,
1.89400e-04,2.56e-01,
1.90400e-04,2.64e-01,
1.91400e-04,2.48e-01,
1.92400e-04,2.56e-01,
1.93400e-04,2.40e-01,
1.94400e-04,2.40e-01,
1.95400e-04,2.24e-01,
1.96400e-04,2.32e-01,
