log(1+5/virhe)*10 000	log(R)
6.040189414		5.262475724
6.069220513		5.195345408
6.111279751		5.114778133
6.069220513		5.072795782
6.069220513		5.010753261
6.040189414		4.954180749
6.040189414		4.876645868
6.013009291		4.821970416
6.040189414		4.765736925
6.013009291		4.727870403
6.040189414		4.663465684
5.987459998		4.611951115
